STRUCTURE_NUMBER_008,MIN_VERT_CLR_010,APPR_WIDTH_MT_032,STRUCTURE_FLARED_035,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,HORR_CLR_MT_047,DECK_AREA,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,MIN_NAV_CLR_MT_116,DEGREES_SKEW_034
000000000027517,99.99,24.7,0,0.0,0.0,0.2,0.2,26.2,28.0,99.99,N,0.0,N,0.0,0.0,13.0,579.6,20.7,20.7,0.0,45
000000000027525,99.99,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,12.8,183.04,6.1,14.3,0.0,0
000000000027526,99.99,9.1,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,9.2,80.08,4.3,8.8,0.0,0
000000000027527,99.99,11.6,0,0.0,0.0,0.2,0.2,11.6,12.6,99.99,N,0.0,N,0.0,0.0,11.6,667.8,25.9,53.0,0.0,38
000000000027528,99.99,7.0,0,0.0,0.0,0.0,0.0,6.1,6.4,99.99,N,0.0,N,0.0,0.0,6.1,175.36,12.8,27.4,0.0,16
000000000027529,99.99,10.7,0,0.0,0.0,2.4,2.4,10.6,16.2,99.99,N,0.0,N,0.0,0.0,10.6,132.84,3.7,8.2,0.0,0
000000000027532,99.99,8.5,0,0.0,0.0,0.2,1.3,6.4,8.4,99.99,N,0.0,N,0.0,0.0,6.4,210.0,7.6,25.0,0.0,0
000000000027533,99.99,7.3,0,0.0,0.0,0.0,0.0,6.7,7.2,99.99,N,0.0,N,0.0,0.0,6.7,100.8,6.1,14.0,0.0,0
000000000027536,99.99,9.1,0,0.0,0.0,0.0,1.2,7.5,10.9,99.99,N,0.0,N,0.0,0.0,7.5,259.42,11.3,23.8,0.0,0
000000000027537,99.99,9.8,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,9.8,134.26,6.1,13.7,0.0,10
000000000027542,99.99,8.5,0,0.0,0.0,0.5,0.5,8.5,10.2,99.99,N,0.0,N,0.0,0.0,8.5,329.46,15.8,32.3,0.0,10
000000000027549,99.99,7.9,0,0.0,0.0,0.2,0.2,11.9,13.0,99.99,N,0.0,N,0.0,0.0,11.9,574.6,21.3,44.2,0.0,45
000000000027555,99.99,6.1,0,0.0,0.0,0.0,0.0,6.1,6.7,99.99,N,0.0,N,0.0,0.0,6.1,67.67,4.9,10.1,0.0,32
000000000027556,99.99,6.1,0,0.0,0.0,0.0,0.0,5.5,6.7,99.99,N,0.0,N,0.0,0.0,5.5,200.33,7.6,29.9,0.0,0
000000000027557,99.99,10.1,0,0.0,0.0,0.2,0.2,10.0,11.1,99.99,N,0.0,N,0.0,0.0,10.0,125.43,10.7,11.3,0.0,0
